model,stratum_type,stratum,n,mrr
TGN,recurring,Novel,9299,0.46921239037302653
TGN,recurring,Recurring,14320,0.4354139234821525
TGN,degree,Q1,6085,0.5516552203248176
TGN,degree,Q2,5741,0.3740817959247241
TGN,degree,Q3,5904,0.45769095090296585
TGN,degree,Q4,5889,0.4061301446988843
JODIE,recurring,Novel,9299,0.2946207212173346
JODIE,recurring,Recurring,14320,0.3488703227448106
JODIE,degree,Q1,6085,0.2811385135806666
JODIE,degree,Q2,5741,0.32397333082064983
JODIE,degree,Q3,5904,0.33818849611104496
JODIE,degree,Q4,5889,0.368174134808349
